RUN INFORMATION
Input qubits=6
Trash qubit=5
Seed=42
Optimizer=AdamOptimizer(stepsize=0.25)
Epochs=150
Batch sizes=[10, 20, 50, 100]
Min fidelity loss=0.030197042694802723
Density matrix rank=4
Min val loss found =
			6->5	10	:	0.05211111098086771
			5->4	10	:	0.1067679532020796
			4->3	10	:	0.11734664475113048
			3->2	10	:	0.1801880376596722
			2->1	10	:	0.320439630326291
			6->5	20	:	0.03199120276400261
			5->4	20	:	0.1018514118188076
			4->3	20	:	0.13164334432086575
			3->2	20	:	0.19496853805096076
			2->1	20	:	0.27263285930128506
			6->5	50	:	0.0004026587875786669
			5->4	50	:	0.11121936005641445
			4->3	50	:	0.09392302289458554
			3->2	50	:	0.25374453370976124
			2->1	50	:	0.3747187675573974
			6->5	100	:	0.0008047682456559224
			5->4	100	:	0.09527157441015058
			4->3	100	:	0.1408669531713854
			3->2	100	:	0.30030882774754136
			2->1	100	:	0.3304090431311415

Exec (training) time=
				10	:	9450.225922107697
				20	:	9440.98979973793
				50	:	7408.611821651459
				100	:	7769.086623668671
